,iso_code,location,date,new_cases_smoothed_per_million,new_deaths,population,new_deaths_smoothed_per_million,new_tests_smoothed_per_thousand,tests_per_case,reproduction_rate,retail_and_recreation,grocery_and_pharmacy,residential,transit_stations,parks,workplaces,new_deaths_per_million
7384,BGD,Bangladesh,2021-03-01,2.649,8.0,166303494.0,0.052,0.085,32.0,1.21,11.286,39.714,4.571,24.286,16.143,13.429,0.04810482213921495
7385,BGD,Bangladesh,2021-03-02,2.749,7.0,166303494.0,0.042,0.087,31.7,1.22,11.857,40.143,4.571,24.286,15.857,13.714,0.04209171937181308
7386,BGD,Bangladesh,2021-03-03,2.909,5.0,166303494.0,0.042,0.087,30.0,1.26,12.429,40.714,4.571,24.429,15.857,13.714,0.030065513837009346
7387,BGD,Bangladesh,2021-03-04,3.088,7.0,166303494.0,0.044,0.088,28.4,1.28,12.857,41.286,4.571,25.0,16.143,13.714,0.04209171937181308
7388,BGD,Bangladesh,2021-03-05,3.23,6.0,166303494.0,0.04,0.087,26.8,1.31,13.571,41.857,4.571,25.714,16.571,13.571,0.03607861660441121
7389,BGD,Bangladesh,2021-03-06,3.344,10.0,166303494.0,0.044,0.087,26.1,1.33,13.857,42.143,4.571,26.143,16.857,13.571,0.06013102767401869
7390,BGD,Bangladesh,2021-03-07,3.534,11.0,166303494.0,0.046,0.088,24.8,1.37,14.571,42.714,4.429,26.857,17.286,13.857,0.06614413044142055
7391,BGD,Bangladesh,2021-03-08,3.757,14.0,166303494.0,0.052,0.091,24.1,1.42,15.0,43.143,4.286,27.429,17.714,13.857,0.08418343874362616
7392,BGD,Bangladesh,2021-03-09,4.098,13.0,166303494.0,0.057,0.093,22.6,1.47,15.143,43.286,4.143,27.714,18.0,13.857,0.07817033597622429
7393,BGD,Bangladesh,2021-03-10,4.445,7.0,166303494.0,0.058,0.093,21.0,1.5,15.286,43.571,4.143,28.143,18.286,14.0,0.04209171937181308
7394,BGD,Bangladesh,2021-03-11,4.816,6.0,166303494.0,0.058,0.095,19.7,1.51,15.286,43.714,4.143,28.286,18.429,14.0,0.03607861660441121
7395,BGD,Bangladesh,2021-03-12,5.187,13.0,166303494.0,0.064,0.097,18.7,1.53,15.143,44.0,4.143,28.571,18.429,14.0,0.07817033597622429
7396,BGD,Bangladesh,2021-03-13,5.594,12.0,166303494.0,0.065,0.1,17.8,1.57,14.714,43.571,4.143,28.429,18.143,13.857,0.07215723320882242
7397,BGD,Bangladesh,2021-03-14,6.069,18.0,166303494.0,0.071,0.102,16.8,1.62,14.714,43.714,4.143,28.857,18.429,14.0,0.10823584981323363
7398,BGD,Bangladesh,2021-03-15,6.866,26.0,166303494.0,0.082,0.103,15.0,1.67,14.714,44.0,4.286,29.143,18.571,14.286,0.15634067195244858
7399,BGD,Bangladesh,2021-03-16,7.559,26.0,166303494.0,0.093,0.106,14.0,1.65,14.857,44.429,4.429,30.143,19.0,14.571,0.15634067195244858
7400,BGD,Bangladesh,2021-03-17,8.287,11.0,166303494.0,0.096,0.112,13.5,1.64,13.286,43.286,5.429,28.714,20.0,9.571,0.06614413044142055
7401,BGD,Bangladesh,2021-03-18,9.263,16.0,166303494.0,0.105,0.114,12.3,1.63,13.429,43.429,5.571,28.714,20.429,9.571,0.0962096442784299
7402,BGD,Bangladesh,2021-03-19,9.978,18.0,166303494.0,0.109,0.117,11.7,1.59,13.571,43.571,5.571,29.0,21.0,10.286,0.10823584981323363
7403,BGD,Bangladesh,2021-03-20,10.712,26.0,166303494.0,0.121,0.12,11.2,1.59,14.286,44.571,5.571,30.0,21.714,11.0,0.15634067195244858
7404,BGD,Bangladesh,2021-03-21,11.582,22.0,166303494.0,0.125,0.124,10.7,1.62,14.143,44.571,5.714,29.857,21.429,11.286,0.1322882608828411
7405,BGD,Bangladesh,2021-03-22,12.472,30.0,166303494.0,0.128,0.13,10.4,1.65,14.0,44.571,5.857,30.0,21.429,11.429,0.18039308302205606
7406,BGD,Bangladesh,2021-03-23,14.048,18.0,166303494.0,0.121,0.134,9.6,1.69,13.857,44.429,6.0,29.429,21.0,11.571,0.10823584981323363
7407,BGD,Bangladesh,2021-03-24,15.51,25.0,166303494.0,0.133,0.137,8.8,1.67,15.143,45.571,5.143,30.571,19.857,16.857,0.1503275691850467
7408,BGD,Bangladesh,2021-03-25,16.713,34.0,166303494.0,0.149,0.142,8.5,1.62,15.0,45.714,5.143,30.714,19.429,17.429,0.20444549409166352
7409,BGD,Bangladesh,2021-03-26,18.292,33.0,166303494.0,0.161,0.149,8.2,1.6,14.0,45.429,5.571,29.429,18.714,16.714,0.19843239132426166
7410,BGD,Bangladesh,2021-03-27,19.843,39.0,166303494.0,0.173,0.153,7.7,1.59,13.286,45.286,5.857,28.286,17.857,16.571,0.23451100792867285
