"REF_DATE","GEO","DGUID","Month of birth","Characteristics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1991","Canada, place of residence of mother","2016A000011124","Total, month of birth","Number of live births","Number","223","units","0","v21400536","1.1.1","403816","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Total, month of birth","Percentage of live births","Percentage","242","units","0","v21400537","1.1.2","100.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, January","Number of live births","Number","223","units","0","v21400538","1.2.1","32213","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, January","Percentage of live births","Percentage","242","units","0","v21400539","1.2.2","8.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, February","Number of live births","Number","223","units","0","v21400540","1.3.1","30345","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, February","Percentage of live births","Percentage","242","units","0","v21400541","1.3.2","7.5","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, March","Number of live births","Number","223","units","0","v21400542","1.4.1","34869","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, March","Percentage of live births","Percentage","242","units","0","v21400543","1.4.2","8.6","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, April","Number of live births","Number","223","units","0","v21400544","1.5.1","35398","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, April","Percentage of live births","Percentage","242","units","0","v21400545","1.5.2","8.8","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, May","Number of live births","Number","223","units","0","v21400546","1.6.1","36371","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, May","Percentage of live births","Percentage","242","units","0","v21400547","1.6.2","9.0","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, June","Number of live births","Number","223","units","0","v21400548","1.7.1","34378","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, June","Percentage of live births","Percentage","242","units","0","v21400549","1.7.2","8.5","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, July","Number of live births","Number","223","units","0","v21400550","1.8.1","35436","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, July","Percentage of live births","Percentage","242","units","0","v21400551","1.8.2","8.8","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, August","Number of live births","Number","223","units","0","v21400552","1.9.1","34421","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, August","Percentage of live births","Percentage","242","units","0","v21400553","1.9.2","8.5","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, September","Number of live births","Number","223","units","0","v21400554","1.10.1","34410","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, September","Percentage of live births","Percentage","242","units","0","v21400555","1.10.2","8.5","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, October","Number of live births","Number","223","units","0","v21400556","1.11.1","33092","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, October","Percentage of live births","Percentage","242","units","0","v21400557","1.11.2","8.2","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, November","Number of live births","Number","223","units","0","v21400558","1.12.1","30766","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, November","Percentage of live births","Percentage","242","units","0","v21400559","1.12.2","7.6","","","","1"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, December","Number of live births","Number","223","units","0","v21400560","1.13.1","32117","","","","0"
"1991","Canada, place of residence of mother","2016A000011124","Month of birth, December","Percentage of live births","Percentage","242","units","0","v21400561","1.13.2","8.0","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Total, month of birth","Number of live births","Number","223","units","0","v21400562","2.1.1","7166","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Total, month of birth","Percentage of live births","Percentage","242","units","0","v21400563","2.1.2","100.0","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, January","Number of live births","Number","223","units","0","v21400564","2.2.1","566","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, January","Percentage of live births","Percentage","242","units","0","v21400565","2.2.2","7.9","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, February","Number of live births","Number","223","units","0","v21400566","2.3.1","567","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, February","Percentage of live births","Percentage","242","units","0","v21400567","2.3.2","7.9","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, March","Number of live births","Number","223","units","0","v21400568","2.4.1","654","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, March","Percentage of live births","Percentage","242","units","0","v21400569","2.4.2","9.1","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, April","Number of live births","Number","223","units","0","v21400570","2.5.1","620","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, April","Percentage of live births","Percentage","242","units","0","v21400571","2.5.2","8.7","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, May","Number of live births","Number","223","units","0","v21400572","2.6.1","623","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, May","Percentage of live births","Percentage","242","units","0","v21400573","2.6.2","8.7","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, June","Number of live births","Number","223","units","0","v21400574","2.7.1","602","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, June","Percentage of live births","Percentage","242","units","0","v21400575","2.7.2","8.4","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, July","Number of live births","Number","223","units","0","v21400576","2.8.1","628","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, July","Percentage of live births","Percentage","242","units","0","v21400577","2.8.2","8.8","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, August","Number of live births","Number","223","units","0","v21400578","2.9.1","576","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, August","Percentage of live births","Percentage","242","units","0","v21400579","2.9.2","8.0","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, September","Number of live births","Number","223","units","0","v21400580","2.10.1","652","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, September","Percentage of live births","Percentage","242","units","0","v21400581","2.10.2","9.1","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, October","Number of live births","Number","223","units","0","v21400582","2.11.1","607","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, October","Percentage of live births","Percentage","242","units","0","v21400583","2.11.2","8.5","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, November","Number of live births","Number","223","units","0","v21400584","2.12.1","539","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, November","Percentage of live births","Percentage","242","units","0","v21400585","2.12.2","7.5","","","","1"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, December","Number of live births","Number","223","units","0","v21400586","2.13.1","532","","","","0"
"1991","Newfoundland and Labrador, place of residence of mother","2016A000210","Month of birth, December","Percentage of live births","Percentage","242","units","0","v21400587","2.13.2","7.4","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Total, month of birth","Number of live births","Number","223","units","0","v21400588","3.1.1","1885","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Total, month of birth","Percentage of live births","Percentage","242","units","0","v21400589","3.1.2","100.0","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, January","Number of live births","Number","223","units","0","v21400590","3.2.1","151","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, January","Percentage of live births","Percentage","242","units","0","v21400591","3.2.2","8.0","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, February","Number of live births","Number","223","units","0","v21400592","3.3.1","134","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, February","Percentage of live births","Percentage","242","units","0","v21400593","3.3.2","7.1","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, March","Number of live births","Number","223","units","0","v21400594","3.4.1","158","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, March","Percentage of live births","Percentage","242","units","0","v21400595","3.4.2","8.4","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, April","Number of live births","Number","223","units","0","v21400596","3.5.1","181","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, April","Percentage of live births","Percentage","242","units","0","v21400597","3.5.2","9.6","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, May","Number of live births","Number","223","units","0","v21400598","3.6.1","148","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, May","Percentage of live births","Percentage","242","units","0","v21400599","3.6.2","7.9","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, June","Number of live births","Number","223","units","0","v21400600","3.7.1","183","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, June","Percentage of live births","Percentage","242","units","0","v21400601","3.7.2","9.7","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, July","Number of live births","Number","223","units","0","v21400602","3.8.1","154","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, July","Percentage of live births","Percentage","242","units","0","v21400603","3.8.2","8.2","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, August","Number of live births","Number","223","units","0","v21400604","3.9.1","153","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, August","Percentage of live births","Percentage","242","units","0","v21400605","3.9.2","8.1","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, September","Number of live births","Number","223","units","0","v21400606","3.10.1","177","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, September","Percentage of live births","Percentage","242","units","0","v21400607","3.10.2","9.4","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, October","Number of live births","Number","223","units","0","v21400608","3.11.1","153","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, October","Percentage of live births","Percentage","242","units","0","v21400609","3.11.2","8.1","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, November","Number of live births","Number","223","units","0","v21400610","3.12.1","142","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, November","Percentage of live births","Percentage","242","units","0","v21400611","3.12.2","7.5","","","","1"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, December","Number of live births","Number","223","units","0","v21400612","3.13.1","151","","","","0"
"1991","Prince Edward Island, place of residence of mother","2016A000211","Month of birth, December","Percentage of live births","Percentage","242","units","0","v21400613","3.13.2","8.0","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Total, month of birth","Number of live births","Number","223","units","0","v21400614","4.1.1","12026","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Total, month of birth","Percentage of live births","Percentage","242","units","0","v21400615","4.1.2","100.0","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, January","Number of live births","Number","223","units","0","v21400616","4.2.1","965","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, January","Percentage of live births","Percentage","242","units","0","v21400617","4.2.2","8.0","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, February","Number of live births","Number","223","units","0","v21400618","4.3.1","978","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, February","Percentage of live births","Percentage","242","units","0","v21400619","4.3.2","8.1","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, March","Number of live births","Number","223","units","0","v21400620","4.4.1","1039","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, March","Percentage of live births","Percentage","242","units","0","v21400621","4.4.2","8.6","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, April","Number of live births","Number","223","units","0","v21400622","4.5.1","1053","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, April","Percentage of live births","Percentage","242","units","0","v21400623","4.5.2","8.8","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, May","Number of live births","Number","223","units","0","v21400624","4.6.1","1076","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, May","Percentage of live births","Percentage","242","units","0","v21400625","4.6.2","8.9","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, June","Number of live births","Number","223","units","0","v21400626","4.7.1","986","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, June","Percentage of live births","Percentage","242","units","0","v21400627","4.7.2","8.2","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, July","Number of live births","Number","223","units","0","v21400628","4.8.1","1045","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, July","Percentage of live births","Percentage","242","units","0","v21400629","4.8.2","8.7","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, August","Number of live births","Number","223","units","0","v21400630","4.9.1","987","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, August","Percentage of live births","Percentage","242","units","0","v21400631","4.9.2","8.2","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, September","Number of live births","Number","223","units","0","v21400632","4.10.1","1099","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, September","Percentage of live births","Percentage","242","units","0","v21400633","4.10.2","9.1","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, October","Number of live births","Number","223","units","0","v21400634","4.11.1","961","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, October","Percentage of live births","Percentage","242","units","0","v21400635","4.11.2","8.0","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, November","Number of live births","Number","223","units","0","v21400636","4.12.1","900","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, November","Percentage of live births","Percentage","242","units","0","v21400637","4.12.2","7.5","","","","1"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, December","Number of live births","Number","223","units","0","v21400638","4.13.1","937","","","","0"
"1991","Nova Scotia, place of residence of mother","2016A000212","Month of birth, December","Percentage of live births","Percentage","242","units","0","v21400639","4.13.2","7.8","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Total, month of birth","Number of live births","Number","223","units","0","v21400640","5.1.1","9498","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Total, month of birth","Percentage of live births","Percentage","242","units","0","v21400641","5.1.2","100.0","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, January","Number of live births","Number","223","units","0","v21400642","5.2.1","730","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, January","Percentage of live births","Percentage","242","units","0","v21400643","5.2.2","7.7","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, February","Number of live births","Number","223","units","0","v21400644","5.3.1","732","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, February","Percentage of live births","Percentage","242","units","0","v21400645","5.3.2","7.7","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, March","Number of live births","Number","223","units","0","v21400646","5.4.1","827","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, March","Percentage of live births","Percentage","242","units","0","v21400647","5.4.2","8.7","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, April","Number of live births","Number","223","units","0","v21400648","5.5.1","802","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, April","Percentage of live births","Percentage","242","units","0","v21400649","5.5.2","8.4","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, May","Number of live births","Number","223","units","0","v21400650","5.6.1","857","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, May","Percentage of live births","Percentage","242","units","0","v21400651","5.6.2","9.0","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, June","Number of live births","Number","223","units","0","v21400652","5.7.1","832","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, June","Percentage of live births","Percentage","242","units","0","v21400653","5.7.2","8.8","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, July","Number of live births","Number","223","units","0","v21400654","5.8.1","797","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, July","Percentage of live births","Percentage","242","units","0","v21400655","5.8.2","8.4","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, August","Number of live births","Number","223","units","0","v21400656","5.9.1","783","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, August","Percentage of live births","Percentage","242","units","0","v21400657","5.9.2","8.2","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, September","Number of live births","Number","223","units","0","v21400658","5.10.1","837","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, September","Percentage of live births","Percentage","242","units","0","v21400659","5.10.2","8.8","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, October","Number of live births","Number","223","units","0","v21400660","5.11.1","835","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, October","Percentage of live births","Percentage","242","units","0","v21400661","5.11.2","8.8","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, November","Number of live births","Number","223","units","0","v21400662","5.12.1","701","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, November","Percentage of live births","Percentage","242","units","0","v21400663","5.12.2","7.4","","","","1"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, December","Number of live births","Number","223","units","0","v21400664","5.13.1","765","","","","0"
"1991","New Brunswick, place of residence of mother","2016A000213","Month of birth, December","Percentage of live births","Percentage","242","units","0","v21400665","5.13.2","8.1","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Total, month of birth","Number of live births","Number","223","units","0","v21400666","6.1.1","97334","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Total, month of birth","Percentage of live births","Percentage","242","units","0","v21400667","6.1.2","100.0","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, January","Number of live births","Number","223","units","0","v21400668","6.2.1","7660","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, January","Percentage of live births","Percentage","242","units","0","v21400669","6.2.2","7.9","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, February","Number of live births","Number","223","units","0","v21400670","6.3.1","7366","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, February","Percentage of live births","Percentage","242","units","0","v21400671","6.3.2","7.6","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, March","Number of live births","Number","223","units","0","v21400672","6.4.1","8650","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, March","Percentage of live births","Percentage","242","units","0","v21400673","6.4.2","8.9","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, April","Number of live births","Number","223","units","0","v21400674","6.5.1","8737","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, April","Percentage of live births","Percentage","242","units","0","v21400675","6.5.2","9.0","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, May","Number of live births","Number","223","units","0","v21400676","6.6.1","8755","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, May","Percentage of live births","Percentage","242","units","0","v21400677","6.6.2","9.0","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, June","Number of live births","Number","223","units","0","v21400678","6.7.1","8300","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, June","Percentage of live births","Percentage","242","units","0","v21400679","6.7.2","8.5","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, July","Number of live births","Number","223","units","0","v21400680","6.8.1","8587","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, July","Percentage of live births","Percentage","242","units","0","v21400681","6.8.2","8.8","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, August","Number of live births","Number","223","units","0","v21400682","6.9.1","8046","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, August","Percentage of live births","Percentage","242","units","0","v21400683","6.9.2","8.3","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, September","Number of live births","Number","223","units","0","v21400684","6.10.1","8242","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, September","Percentage of live births","Percentage","242","units","0","v21400685","6.10.2","8.5","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, October","Number of live births","Number","223","units","0","v21400686","6.11.1","7807","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, October","Percentage of live births","Percentage","242","units","0","v21400687","6.11.2","8.0","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, November","Number of live births","Number","223","units","0","v21400688","6.12.1","7413","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, November","Percentage of live births","Percentage","242","units","0","v21400689","6.12.2","7.6","","","","1"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, December","Number of live births","Number","223","units","0","v21400690","6.13.1","7771","","","","0"
"1991","Quebec, place of residence of mother","2016A000224","Month of birth, December","Percentage of live births","Percentage","242","units","0","v21400691","6.13.2","8.0","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Total, month of birth","Number of live births","Number","223","units","0","v21400692","7.1.1","152711","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Total, month of birth","Percentage of live births","Percentage","242","units","0","v21400693","7.1.2","100.0","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, January","Number of live births","Number","223","units","0","v21400694","7.2.1","11979","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, January","Percentage of live births","Percentage","242","units","0","v21400695","7.2.2","7.8","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, February","Number of live births","Number","223","units","0","v21400696","7.3.1","11259","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, February","Percentage of live births","Percentage","242","units","0","v21400697","7.3.2","7.4","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, March","Number of live births","Number","223","units","0","v21400698","7.4.1","12982","","","","0"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, March","Percentage of live births","Percentage","242","units","0","v21400699","7.4.2","8.5","","","","1"
"1991","Ontario, place of residence of mother","2016A000235","Month of birth, April","Number of live births","Number","223","units","0","v21400700","7.5.1","13474","","","","0"
