"Notes"	"State of Residence"	"State of Residence Code"	"Month"	"Month Code"	"Year"	"Year Code"	Births
	"Alabama"	"01"	"January"	"1"	"2016"	"2016"	4805
	"Alabama"	"01"	"January"	"1"	"2017"	"2017"	4937
	"Alabama"	"01"	"January"	"1"	"2018"	"2018"	4902
	"Alabama"	"01"	"January"	"1"	"2019"	"2019"	5036
	"Alabama"	"01"	"January"	"1"	"2020"	"2020"	4955
	"Alabama"	"01"	"January"	"1"	"2021"	"2021"	4553
	"Alabama"	"01"	"January"	"1"	"2022"	"2022"	4808
"Total"	"Alabama"	"01"	"January"	"1"			33996
	"Alabama"	"01"	"February"	"2"	"2016"	"2016"	4718
	"Alabama"	"01"	"February"	"2"	"2017"	"2017"	4497
	"Alabama"	"01"	"February"	"2"	"2018"	"2018"	4342
	"Alabama"	"01"	"February"	"2"	"2019"	"2019"	4399
	"Alabama"	"01"	"February"	"2"	"2020"	"2020"	4449
	"Alabama"	"01"	"February"	"2"	"2021"	"2021"	4385
	"Alabama"	"01"	"February"	"2"	"2022"	"2022"	4383
"Total"	"Alabama"	"01"	"February"	"2"			31173
	"Alabama"	"01"	"March"	"3"	"2016"	"2016"	4825
	"Alabama"	"01"	"March"	"3"	"2017"	"2017"	4809
	"Alabama"	"01"	"March"	"3"	"2018"	"2018"	4761
	"Alabama"	"01"	"March"	"3"	"2019"	"2019"	4531
	"Alabama"	"01"	"March"	"3"	"2020"	"2020"	4775
	"Alabama"	"01"	"March"	"3"	"2021"	"2021"	4756
	"Alabama"	"01"	"March"	"3"	"2022"	"2022"	4806
"Total"	"Alabama"	"01"	"March"	"3"			33263
	"Alabama"	"01"	"April"	"4"	"2016"	"2016"	4527
	"Alabama"	"01"	"April"	"4"	"2017"	"2017"	4383
	"Alabama"	"01"	"April"	"4"	"2018"	"2018"	4393
	"Alabama"	"01"	"April"	"4"	"2019"	"2019"	4535
	"Alabama"	"01"	"April"	"4"	"2020"	"2020"	4567
	"Alabama"	"01"	"April"	"4"	"2021"	"2021"	4519
	"Alabama"	"01"	"April"	"4"	"2022"	"2022"	4456
"Total"	"Alabama"	"01"	"April"	"4"			31380
	"Alabama"	"01"	"May"	"5"	"2016"	"2016"	4802
	"Alabama"	"01"	"May"	"5"	"2017"	"2017"	4763
	"Alabama"	"01"	"May"	"5"	"2018"	"2018"	4785
	"Alabama"	"01"	"May"	"5"	"2019"	"2019"	4807
	"Alabama"	"01"	"May"	"5"	"2020"	"2020"	4510
	"Alabama"	"01"	"May"	"5"	"2021"	"2021"	4512
	"Alabama"	"01"	"May"	"5"	"2022"	"2022"	4588
"Total"	"Alabama"	"01"	"May"	"5"			32767
	"Alabama"	"01"	"June"	"6"	"2016"	"2016"	5047
	"Alabama"	"01"	"June"	"6"	"2017"	"2017"	4823
	"Alabama"	"01"	"June"	"6"	"2018"	"2018"	4768
	"Alabama"	"01"	"June"	"6"	"2019"	"2019"	4470
	"Alabama"	"01"	"June"	"6"	"2020"	"2020"	4799
	"Alabama"	"01"	"June"	"6"	"2021"	"2021"	4930
	"Alabama"	"01"	"June"	"6"	"2022"	"2022"	4709
"Total"	"Alabama"	"01"	"June"	"6"			33546
	"Alabama"	"01"	"July"	"7"	"2016"	"2016"	5043
	"Alabama"	"01"	"July"	"7"	"2017"	"2017"	5053
	"Alabama"	"01"	"July"	"7"	"2018"	"2018"	4936
	"Alabama"	"01"	"July"	"7"	"2019"	"2019"	5068
	"Alabama"	"01"	"July"	"7"	"2020"	"2020"	5224
	"Alabama"	"01"	"July"	"7"	"2021"	"2021"	5154
	"Alabama"	"01"	"July"	"7"	"2022"	"2022"	5006
"Total"	"Alabama"	"01"	"July"	"7"			35484
